,trackid,artistname,tracknumber,duration,artistid,tracktitle,releasetitle,releaseid,spotify,spotify_ret
30,4628,JoJo,8,241,357,Leave (Get Out),JoJo,561,"{'external_urls': {'spotify': 'https://open.spotify.com/track/6nIcGJK6Pj1ThzC6r8O8hA'}, 'name': 'Leave (Get Out) - 2018', 'uri': 'spotify:track:6nIcGJK6Pj1ThzC6r8O8hA'}",True
31,4678,Norah Jones,5,198,360,Come Away With Me,Come Away With Me,569,"{'external_urls': {'spotify': 'https://open.spotify.com/track/0Cvjlph1WGbwZY1PlMEtJY'}, 'name': 'Come Away With Me', 'uri': 'spotify:track:0Cvjlph1WGbwZY1PlMEtJY'}",True
32,4931,Gorillaz,5,358,382,Clint Eastwood,Gorillaz,585,"{'external_urls': {'spotify': 'https://open.spotify.com/track/7yMiX7n9SBvadzox8T5jzT'}, 'name': 'Clint Eastwood', 'uri': 'spotify:track:7yMiX7n9SBvadzox8T5jzT'}",True
33,5109,Frank Sinatra,5,268,2101,It Was A Very Good Year,Swing When You're Winning,597,"{'external_urls': {'spotify': 'https://open.spotify.com/track/2ID3rNM3hFBjqrLcV0Wr0y'}, 'name': 'It Was A Very Good Year', 'uri': 'spotify:track:2ID3rNM3hFBjqrLcV0Wr0y'}",True
34,5584,Robbie Williams,2,262,386,Feel (Album Version),Escapology,630,"{'external_urls': {'spotify': 'https://open.spotify.com/track/4s0o8TJHfX9LLHa0umnOzT'}, 'name': 'Sunshine - Explicit Album Version', 'uri': 'spotify:track:4s0o8TJHfX9LLHa0umnOzT'}",True
35,5592,Robbie Williams,10,432,386,Me And My Monkey,Escapology,630,"{'external_urls': {'spotify': 'https://open.spotify.com/track/64P3zpRsDHIk7YTpRtaKYL'}, 'name': ""Everybody's Got Something To Hide Except Me And My Monkey - Remastered 2009"", 'uri': 'spotify:track:64P3zpRsDHIk7YTpRtaKYL'}",True
36,5781,Robbie Williams,1,262,386,Feel (Album Version),Feel,701,"{'external_urls': {'spotify': 'https://open.spotify.com/track/4s0o8TJHfX9LLHa0umnOzT'}, 'name': 'Sunshine - Explicit Album Version', 'uri': 'spotify:track:4s0o8TJHfX9LLHa0umnOzT'}",True
37,5824,Jamelia,1,216,427,Superstar,Superstar,717,"{'external_urls': {'spotify': 'https://open.spotify.com/track/7dltD9eEX7X1zk8JJ9BS0e'}, 'name': 'Superstar (feat. Matthew Santos)', 'uri': 'spotify:track:7dltD9eEX7X1zk8JJ9BS0e'}",True
38,6085,Pet Shop Boys,2,243,390,Positive Role Model,Disco 3,748,"{'external_urls': {'spotify': 'https://open.spotify.com/track/7iqtckFLjYlc2wxXhvi9po'}, 'name': 'Positive Role Model - 2017 Remaster', 'uri': 'spotify:track:7iqtckFLjYlc2wxXhvi9po'}",True
39,6161,Shirley Bassey,11,171,456,Goldfinger,Essential,753,"{'external_urls': {'spotify': 'https://open.spotify.com/track/6cL7NCFSvqWrBH5r4mkvVV'}, 'name': 'Superman', 'uri': 'spotify:track:6cL7NCFSvqWrBH5r4mkvVV'}",True
40,6179,The Beach Boys,5,139,364,"Fun, Fun, Fun (2001 - Remaster)",The Very Best Of The Beach Boys: Sounds Of Summer,754,,True
41,6878,Fun Lovin' Criminals,7,222,400,Sugar,100% Colombian,809,"{'external_urls': {'spotify': 'https://open.spotify.com/track/2TfSHkHiFO4gRztVIkggkE'}, 'name': ""Sugar, We're Goin Down"", 'uri': 'spotify:track:2TfSHkHiFO4gRztVIkggkE'}",True
42,7180,Radiohead,12,254,304,Street Spirit (Fade Out),The Bends,829,"{'external_urls': {'spotify': 'https://open.spotify.com/track/5gz38AxRkD6Ywxd4fr2pLj'}, 'name': 'Street Spirit (Fade Out)', 'uri': 'spotify:track:5gz38AxRkD6Ywxd4fr2pLj'}",True
43,7388,Supergrass,4,181,407,Alright,I Should Coco,846,"{'external_urls': {'spotify': 'https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm'}, 'name': 'Be Alright', 'uri': 'spotify:track:3EPXxR3ImUwfayaurPi3cm'}",True
44,7461,Pet Shop Boys,11,295,390,I Get Excited (You Get Excited Too),Alternative,851,"{'external_urls': {'spotify': 'https://open.spotify.com/track/4xzYczc7rNCPDXDBSae1i6'}, 'name': 'I Get Excited (You Get Excited Too) - 2001 Remaster', 'uri': 'spotify:track:4xzYczc7rNCPDXDBSae1i6'}",True
45,8384,The Verve,1,357,543,Bitter Sweet Symphony,Urban Hymns,926,"{'external_urls': {'spotify': 'https://open.spotify.com/track/57iDDD9N9tTWe75x6qhStw'}, 'name': 'Bitter Sweet Symphony', 'uri': 'spotify:track:57iDDD9N9tTWe75x6qhStw'}",True
46,8385,The Verve,2,262,543,Sonnet,Urban Hymns,926,"{'external_urls': {'spotify': 'https://open.spotify.com/track/6OgWHP8rRXiq7VMaryVaVo'}, 'name': 'Sonnet', 'uri': 'spotify:track:6OgWHP8rRXiq7VMaryVaVo'}",True
47,8481,Massive Attack,3,329,416,Teardrop,Mezzanine,933,"{'external_urls': {'spotify': 'https://open.spotify.com/track/67Hna13dNDkZvBpTXRIaOJ'}, 'name': 'Teardrop', 'uri': 'spotify:track:67Hna13dNDkZvBpTXRIaOJ'}",True
48,9087,Radiohead,2,385,304,Paranoid Android,OK Computer,975,"{'external_urls': {'spotify': 'https://open.spotify.com/track/2nTsKOXIVGDf2iPeVQO2Gm'}, 'name': 'Paranoid Android', 'uri': 'spotify:track:2nTsKOXIVGDf2iPeVQO2Gm'}",True
49,9088,Radiohead,3,268,304,Subterranean Homesick Alien,OK Computer,975,"{'external_urls': {'spotify': 'https://open.spotify.com/track/19yGmm9FjEZdZc5j98WDe4'}, 'name': 'Subterranean Homesick Alien', 'uri': 'spotify:track:19yGmm9FjEZdZc5j98WDe4'}",True
50,9370,Morrissey,15,150,504,We Hate It When Our Friends Become Successful,The Best Of Morrissey - Suedehead,994,"{'external_urls': {'spotify': 'https://open.spotify.com/track/73SIQdJZbuki1k96nGvVUb'}, 'name': 'We Hate It When Our Friends Become Successful - 2014 Remastered Version', 'uri': 'spotify:track:73SIQdJZbuki1k96nGvVUb'}",True
51,9537,Robbie Williams,1,267,386,Angels,Angels,1050,"{'external_urls': {'spotify': 'https://open.spotify.com/track/3L19besdNQzd342qL78xqm'}, 'name': 'Demons and Angels (feat. Juice WRLD)', 'uri': 'spotify:track:3L19besdNQzd342qL78xqm'}",True
52,13075,David Bowie,3,370,365,Heroes (1999 Remastered Version),Heroes,1356,,True
53,13416,Pink Floyd,1,315,447,One of These Days (2001 Remastered Version),A Collection Of Great Dance Songs,1379,,True
54,13664,Robbie Williams,13,204,386,Ser Mejor,Sing When You're Winning,1393,"{'external_urls': {'spotify': 'https://open.spotify.com/track/5vTIuHaFWnKLB28oLaRClm'}, 'name': 'La Mejor De Todas', 'uri': 'spotify:track:5vTIuHaFWnKLB28oLaRClm'}",True
55,15308,Arturo Sandoval,6,376,776,Danzon,The Very Best Of Arturo Sandoval,1506,"{'external_urls': {'spotify': 'https://open.spotify.com/track/0Qzkm9CSXwK2Fk3Gm0ioDA'}, 'name': 'Historias De Danzón Y De Arrabal', 'uri': 'spotify:track:0Qzkm9CSXwK2Fk3Gm0ioDA'}",True
56,16151,Rammstein,10,271,845,OHNE DICH,"Reise, Reise",1614,"{'external_urls': {'spotify': 'https://open.spotify.com/track/4Hruh5C0Ef3y8mIcns5Y1O'}, 'name': 'OHNE DICH', 'uri': 'spotify:track:4Hruh5C0Ef3y8mIcns5Y1O'}",True
57,16320,Marilyn Manson,3,207,827,mOBSCENE,Lest We Forget (The Best Of),1635,"{'external_urls': {'spotify': 'https://open.spotify.com/track/4Ppy0KysTPcXyzyP5JiJDx'}, 'name': 'mOBSCENE', 'uri': 'spotify:track:4Ppy0KysTPcXyzyP5JiJDx'}",True
58,16329,Marilyn Manson,12,190,827,Rock Is Dead,Lest We Forget (The Best Of),1635,"{'external_urls': {'spotify': 'https://open.spotify.com/track/4ukiv6Rp5N4tQZSBT9JRLo'}, 'name': 'Rock Is Dead', 'uri': 'spotify:track:4ukiv6Rp5N4tQZSBT9JRLo'}",True
59,17134,Blue,4,220,968,Sorry Seems To Be The Hardest Word (feat.Elton John),One Love,1719,"{'external_urls': {'spotify': 'https://open.spotify.com/track/2We955n2EKpmbKm2H8kWYz'}, 'name': 'Sorry Seems To Be The Hardest Word - feat.Elton John', 'uri': 'spotify:track:2We955n2EKpmbKm2H8kWYz'}",True
60,17458,Megadeth,1,390,990,Holy Wars...The Punishment Due (2004 Digital Remaster),Rust In Peace,1752,,True
61,17459,Megadeth,2,310,990,Hangar 18 (2004 Digital Remaster),Rust In Peace,1752,,True
62,17502,Megadeth,2,206,990,Train Of Consequences (2004 Digital Remaster),Youthanasia,1755,,True
63,17999,Gwen Stefani,4,189,1059,Cool,Love Angel Music Baby,1818,"{'external_urls': {'spotify': 'https://open.spotify.com/track/3QmolSZqjjLksTUvZJ6pPS'}, 'name': 'Cool', 'uri': 'spotify:track:3QmolSZqjjLksTUvZJ6pPS'}",True
64,18095,Shania Twain,1,243,1062,Forever And For Always,Greatest Hits,1827,"{'external_urls': {'spotify': 'https://open.spotify.com/track/3IvywxLUIb30oVLH8DWfh6'}, 'name': 'Forever And For Always - Pop Red Edit', 'uri': 'spotify:track:3IvywxLUIb30oVLH8DWfh6'}",True
65,18102,Shania Twain,8,235,1062,From This Moment On,Greatest Hits,1827,"{'external_urls': {'spotify': 'https://open.spotify.com/track/0Q7Jp3aCwfYnSnbMDoXWyR'}, 'name': 'From This Moment On', 'uri': 'spotify:track:0Q7Jp3aCwfYnSnbMDoXWyR'}",True
66,20495,Jay Sean,12,202,1266,I Believe In You,Me Against Myself,1995,"{'external_urls': {'spotify': 'https://open.spotify.com/track/67aeyMdt7cgb8l9zg53Pfm'}, 'name': 'I Believe in You', 'uri': 'spotify:track:67aeyMdt7cgb8l9zg53Pfm'}",True
67,20797,Orbital,9,567,1269,Halcyon And On And On,Orbital 2,2019,"{'external_urls': {'spotify': 'https://open.spotify.com/track/5xcunlfaZvD9BDQsLONI7A'}, 'name': 'Halcyon and On and On', 'uri': 'spotify:track:5xcunlfaZvD9BDQsLONI7A'}",True
68,21583,Anouk,8,214,1291,Our Own Love,Hotel New York,2037,"{'external_urls': {'spotify': 'https://open.spotify.com/track/7Jajs9GsPhTmKv3nkeSKRJ'}, 'name': 'The Place You Love', 'uri': 'spotify:track:7Jajs9GsPhTmKv3nkeSKRJ'}",True
69,22682,Guns N' Roses,1,274,678,Welcome To The Jungle,Appetite For Destruction,2211,"{'external_urls': {'spotify': 'https://open.spotify.com/track/0G21yYKMZoHa30cYVi1iA8'}, 'name': 'Welcome To The Jungle', 'uri': 'spotify:track:0G21yYKMZoHa30cYVi1iA8'}",True
70,22687,Guns N' Roses,6,409,678,Paradise City,Appetite For Destruction,2211,"{'external_urls': {'spotify': 'https://open.spotify.com/track/6eN1f9KNmiWEhpE2RhQqB5'}, 'name': 'Paradise City', 'uri': 'spotify:track:6eN1f9KNmiWEhpE2RhQqB5'}",True
71,22690,Guns N' Roses,9,356,678,Sweet Child O' Mine,Appetite For Destruction,2211,"{'external_urls': {'spotify': 'https://open.spotify.com/track/7snQQk1zcKl8gZ92AnueZW'}, 'name': ""Sweet Child O' Mine"", 'uri': 'spotify:track:7snQQk1zcKl8gZ92AnueZW'}",True
72,22693,Guns N' Roses,12,374,678,Rocket Queen,Appetite For Destruction,2211,"{'external_urls': {'spotify': 'https://open.spotify.com/track/0755vnFQZLSgHHWbR1qCjY'}, 'name': 'Rocket', 'uri': 'spotify:track:0755vnFQZLSgHHWbR1qCjY'}",True
73,22821,Soft Cell,9,299,296,Numbers,The Singles,2222,"{'external_urls': {'spotify': 'https://open.spotify.com/track/2wSAWEYUHkt92X4SBAPqZE'}, 'name': 'Karma Chameleon - Remastered 2002', 'uri': 'spotify:track:2wSAWEYUHkt92X4SBAPqZE'}",True
74,23863,The Wonder Stuff,12,169,898,"Give, Give, Give Me More, More, More",If The Beatles Had Read Hunter...The Singles,2334,"{'external_urls': {'spotify': 'https://open.spotify.com/track/6HNfFFlg1uVrrIhp11PcVQ'}, 'name': 'Give Me More (Stripped)', 'uri': 'spotify:track:6HNfFFlg1uVrrIhp11PcVQ'}",True
75,23988,Rainbow,1,278,1376,Man On The Silver Mountain,The Best Of Rainbow,2346,"{'external_urls': {'spotify': 'https://open.spotify.com/track/52bzQkgk8TznulGvKOPQTK'}, 'name': 'Man On The Silver Mountain', 'uri': 'spotify:track:52bzQkgk8TznulGvKOPQTK'}",True
76,24011,The Cure,4,214,258,Hot Hot Hot!!!,Galore - The Singles 1987-1997,2348,"{'external_urls': {'spotify': 'https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN'}, 'name': 'Mr. Brightside', 'uri': 'spotify:track:7oK9VyNzrYvRFo7nQEYkWN'}",True
77,24033,Sting,3,218,71,Fields Of Gold,Fields Of Gold - The Best Of Sting 1984 - 1994,2350,"{'external_urls': {'spotify': 'https://open.spotify.com/track/0I1DJdLt9BKOb7GWmWxCjo'}, 'name': 'Fields Of Gold', 'uri': 'spotify:track:0I1DJdLt9BKOb7GWmWxCjo'}",True
78,24197,Dire Straits,1,347,1486,Sultans Of Swing,Sultans Of Swing - The Very Best Of Dire Straits,2360,"{'external_urls': {'spotify': 'https://open.spotify.com/track/6cr6UDpkjEaMQ80OjWqEBQ'}, 'name': 'Sultans of Swing', 'uri': 'spotify:track:6cr6UDpkjEaMQ80OjWqEBQ'}",True
79,24511,Game,11,251,499934,The Documentary,The Documentary,2400,"{'external_urls': {'spotify': 'https://open.spotify.com/track/2wGSgTmgSF3xjRrHkTc25R'}, 'name': 'Hate It Or Love It', 'uri': 'spotify:track:2wGSgTmgSF3xjRrHkTc25R'}",True
80,51366,Tears For Fears,5,256,286,Head Over Heels,Tears Roll Down (Greatest Hits 82-92),4955,"{'external_urls': {'spotify': 'https://open.spotify.com/track/5lwQGZYF4BXOzFtXc5zk8q'}, 'name': 'Head Over Heels - Dave Bascombe 7"" N.Mix', 'uri': 'spotify:track:5lwQGZYF4BXOzFtXc5zk8q'}",True
81,71078,Keith Sweat,1,272,4212,Twisted,Keith Sweat,7017,"{'external_urls': {'spotify': 'https://open.spotify.com/track/2gZUPNdnz5Y45eiGxpHGSc'}, 'name': 'POWER', 'uri': 'spotify:track:2gZUPNdnz5Y45eiGxpHGSc'}",True
82,79312,Michael Bublé,3,316,908,My Funny Valentine (Live),Come Fly With Me,7828,"{'external_urls': {'spotify': 'https://open.spotify.com/track/4w40GIORJtRk7WIUypynsY'}, 'name': 'My Funny Valentine - Live', 'uri': 'spotify:track:4w40GIORJtRk7WIUypynsY'}",True
83,88887,Ambrosia,1,284,4619,How Much I Feel,How Much I Feel &amp; Other Hits,8742,"{'external_urls': {'spotify': 'https://open.spotify.com/track/3GVhCuS4BRxCTvVj4Cmc8w'}, 'name': 'How Much I Feel', 'uri': 'spotify:track:3GVhCuS4BRxCTvVj4Cmc8w'}",True
84,89517,Madonna,9,376,6051,Frozen,Ray Of Light,8804,"{'external_urls': {'spotify': 'https://open.spotify.com/track/0qcr5FMsEO85NAQjrlDRKo'}, 'name': 'Let It Go - From ""Frozen""/Soundtrack Version', 'uri': 'spotify:track:0qcr5FMsEO85NAQjrlDRKo'}",True
85,92032,The Corrs,13,248,592,Love To Love You ( LP Version ),Best Of The Corrs,9048,"{'external_urls': {'spotify': 'https://open.spotify.com/track/7D4vdvgwrrbJjb3px4mMZ0'}, 'name': 'Hurts To Love You - LP Version (Album Version)', 'uri': 'spotify:track:7D4vdvgwrrbJjb3px4mMZ0'}",True
86,92049,Simple Plan,1,183,913,Shut Up! (Domestic Album Version),Still Not Getting Any,9050,,True
87,92050,Simple Plan,2,207,913,Welcome To My Life,Still Not Getting Any,9050,"{'external_urls': {'spotify': 'https://open.spotify.com/track/714Lw0m2SmCEhKSPw0Dn8J'}, 'name': 'Welcome To My Life', 'uri': 'spotify:track:714Lw0m2SmCEhKSPw0Dn8J'}",True
88,92055,Simple Plan,7,188,913,Jump (Domestic Album Version),Still Not Getting Any,9050,,True
89,92059,Simple Plan,11,240,913,Untitled (Domestic Album Version),Still Not Getting Any,9050,,True
90,93304,Red Hot Chili Peppers,7,269,1283,Can't Stop,By The Way,9153,"{'external_urls': {'spotify': 'https://open.spotify.com/track/3ZOEytgrvLwQaqXreDs2Jx'}, 'name': ""Can't Stop"", 'uri': 'spotify:track:3ZOEytgrvLwQaqXreDs2Jx'}",True
91,97091,The Polyphonic Spree,1,280,6517,Have A Day / Celebratory,The Beginning Stages Of ...,9468,"{'external_urls': {'spotify': 'https://open.spotify.com/track/7HId0xHrkK20Txhwz6Df00'}, 'name': 'Have a Day / Celebratory', 'uri': 'spotify:track:7HId0xHrkK20Txhwz6Df00'}",True
92,101250,50 Cent,1,209,1297,Candy Shop,Candy Shop,9860,"{'external_urls': {'spotify': 'https://open.spotify.com/track/5D2mYZuzcgjpchVY1pmTPh'}, 'name': 'Candy Shop', 'uri': 'spotify:track:5D2mYZuzcgjpchVY1pmTPh'}",True
93,103938,The Smashing Pumpkins,7,211,7041,Smiley (Peel Sessions),Rarities &amp; B-Sides,10149,,True
94,104056,Daft Punk,10,417,466,Emotion,Human After All,10160,"{'external_urls': {'spotify': 'https://open.spotify.com/track/24NwBd5vZ2CK8VOQVnqdxr'}, 'name': 'Sweet Emotion', 'uri': 'spotify:track:24NwBd5vZ2CK8VOQVnqdxr'}",True
95,104079,Brian Eno,5,262,1010,An Ending (Ascent) (2005 Digital Remaster),Apollo,10162,,True
96,104534,The Pussycat Dolls,1,192,7059,Sway,Shall We Dance?,10226,"{'external_urls': {'spotify': 'https://open.spotify.com/track/6EUDUDQP5ynE3g5SWCA8sc'}, 'name': 'Sway', 'uri': 'spotify:track:6EUDUDQP5ynE3g5SWCA8sc'}",True
97,105257,Archive,1,331,6076,Fuck U,Unplugged,10336,"{'external_urls': {'spotify': 'https://open.spotify.com/track/5OZGoO9wXzpu1JHu3LkJZu'}, 'name': 'F**k U Betta', 'uri': 'spotify:track:5OZGoO9wXzpu1JHu3LkJZu'}",True
98,108811,Gorillaz,6,223,382,Feel Good Inc,Demon Days,10609,"{'external_urls': {'spotify': 'https://open.spotify.com/track/0d28khcov6AiegSCpG5TuT'}, 'name': 'Feel Good Inc', 'uri': 'spotify:track:0d28khcov6AiegSCpG5TuT'}",True
99,118130,Coldplay,4,296,20,Fix You,X &amp; Y,11546,"{'external_urls': {'spotify': 'https://open.spotify.com/track/7LVHVU3tWfcxj5aiPFEW4Q'}, 'name': 'Fix You', 'uri': 'spotify:track:7LVHVU3tWfcxj5aiPFEW4Q'}",True
100,123393,Megadeth,5,225,990,Angry Again,Greatest Hits:  Back To The Start (Digital Only),12124,"{'external_urls': {'spotify': 'https://open.spotify.com/track/3CI1JP2ooMBSFjIy1u6Yrc'}, 'name': 'Angry Again', 'uri': 'spotify:track:3CI1JP2ooMBSFjIy1u6Yrc'}",True
