,trackid,artistname,tracknumber,duration,artistid,tracktitle,releasetitle,releaseid,spotify,spotify_ret
0,148,Blink 182,8,168,2,All The Small Things,Enema Of The State,20,"{'external_urls': {'spotify': 'https://open.spotify.com/track/2m1hi0nfMR9vdGC8UcrnwU'}, 'name': 'All The Small Things', 'uri': 'spotify:track:2m1hi0nfMR9vdGC8UcrnwU'}",True
1,155,Blink 182,3,193,2,Aliens Exist,Enema Of The State,20,"{'external_urls': {'spotify': 'https://open.spotify.com/track/3nqm3DdVskqbHhmb8S8hMd'}, 'name': 'Aliens Exist', 'uri': 'spotify:track:3nqm3DdVskqbHhmb8S8hMd'}",True
2,565,India.Arie,16,245,64,Interested,Voyage To India (Limited Edition),49,"{'external_urls': {'spotify': 'https://open.spotify.com/track/0X7dPY4rwjzNY29RdPX4bF'}, 'name': 'Not Interested', 'uri': 'spotify:track:0X7dPY4rwjzNY29RdPX4bF'}",True
3,684,Amy Winehouse,4,201,4,Fuck Me Pumps,Frank,56,"{'external_urls': {'spotify': 'https://open.spotify.com/track/3ku4ScVEkZvurrcjmMrOAL'}, 'name': 'Fuck Me Pumps', 'uri': 'spotify:track:3ku4ScVEkZvurrcjmMrOAL'}",True
4,688,Amy Winehouse,13,797,4,Amy Amy Amy / Outro,Frank,56,"{'external_urls': {'spotify': 'https://open.spotify.com/track/4fspdRbEdSHJvImD8Pl8Xv'}, 'name': 'Amy Amy Amy / Outro', 'uri': 'spotify:track:4fspdRbEdSHJvImD8Pl8Xv'}",True
5,695,Amy Winehouse,6,209,4,Moody's Mood For Love / Teo Licks,Frank,56,"{'external_urls': {'spotify': 'https://open.spotify.com/track/2cwceznjAMWRRFc89F4KMe'}, 'name': ""Moody's Mood For Love / Teo Licks"", 'uri': 'spotify:track:2cwceznjAMWRRFc89F4KMe'}",True
6,1445,Erykah Badu,2,226,103,On &amp; On,Baduizm,106,"{'external_urls': {'spotify': 'https://open.spotify.com/track/50uw8iZZ9xHxUwNqlbUYin'}, 'name': 'Slippin on Ya Pimpin', 'uri': 'spotify:track:50uw8iZZ9xHxUwNqlbUYin'}",True
7,1492,Blink 182,10,251,2,Always,blink-182,109,"{'external_urls': {'spotify': 'https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk'}, 'name': 'Always Remember Us This Way', 'uri': 'spotify:track:2rbDhOo9Fh61Bbu23T2qCk'}",True
8,1502,Blink 182,3,227,2,I Miss You,blink-182,109,"{'external_urls': {'spotify': 'https://open.spotify.com/track/1oTo3ijRbaDAtrjJrGAPSw'}, 'name': 'I Miss You', 'uri': 'spotify:track:1oTo3ijRbaDAtrjJrGAPSw'}",True
9,1528,Keane,12,278,1,Bedshaped,Hopes And Fears,112,"{'external_urls': {'spotify': 'https://open.spotify.com/track/0fKeO7Omt3JLKXBm29ELLl'}, 'name': 'Bedshaped - Acoustic / Live At The Roundhouse / 2013', 'uri': 'spotify:track:0fKeO7Omt3JLKXBm29ELLl'}",True
10,1646,3 Doors Down,1,237,108,Here Without You,Here Without You,130,"{'external_urls': {'spotify': 'https://open.spotify.com/track/3NLrRZoMF0Lx6zTlYqeIo4'}, 'name': 'Here Without You', 'uri': 'spotify:track:3NLrRZoMF0Lx6zTlYqeIo4'}",True
11,2199,Bob Marley &amp; The Wailers,15,211,159,Jamming,Legend,212,"{'external_urls': {'spotify': 'https://open.spotify.com/track/4zn0kScuV9Oj28d4g9CQQs'}, 'name': 'Jamming', 'uri': 'spotify:track:4zn0kScuV9Oj28d4g9CQQs'}",True
12,2202,Bob Marley &amp; The Wailers,4,180,159,Three Little Birds,Legend,212,"{'external_urls': {'spotify': 'https://open.spotify.com/track/6A9mKXlFRPMPem6ygQSt7z'}, 'name': 'Three Little Birds', 'uri': 'spotify:track:6A9mKXlFRPMPem6ygQSt7z'}",True
13,2205,Bob Marley &amp; The Wailers,16,412,159,Punky Reggae Party,Legend,212,"{'external_urls': {'spotify': 'https://open.spotify.com/track/1WgOedf4pKmgepml1CMW6o'}, 'name': 'Punky Reggae Party', 'uri': 'spotify:track:1WgOedf4pKmgepml1CMW6o'}",True
14,2206,Bob Marley &amp; The Wailers,1,231,159,Is This Love,Legend,212,"{'external_urls': {'spotify': 'https://open.spotify.com/track/6lUNNXp7M8boA7gUEd6PSm'}, 'name': ""Love Ain't"", 'uri': 'spotify:track:6lUNNXp7M8boA7gUEd6PSm'}",True
15,2207,Bob Marley &amp; The Wailers,2,428,159,"No Woman, No Cry",Legend,212,"{'external_urls': {'spotify': 'https://open.spotify.com/track/423hwXFgoN8RYmqLoLuVvY'}, 'name': 'No Woman, No Cry - Live At The Lyceum, London/1975', 'uri': 'spotify:track:423hwXFgoN8RYmqLoLuVvY'}",True
16,2208,Bob Marley &amp; The Wailers,3,237,159,Could You Be Loved,Legend,212,"{'external_urls': {'spotify': 'https://open.spotify.com/track/5O4erNlJ74PIF6kGol1ZrC'}, 'name': 'Could You Be Loved', 'uri': 'spotify:track:5O4erNlJ74PIF6kGol1ZrC'}",True
17,2209,Bob Marley &amp; The Wailers,5,258,159,Buffalo Soldier,Legend,212,"{'external_urls': {'spotify': 'https://open.spotify.com/track/7BfW1eoDh27W69nxsmRicb'}, 'name': 'Buffalo Soldier', 'uri': 'spotify:track:7BfW1eoDh27W69nxsmRicb'}",True
18,2212,Bob Marley &amp; The Wailers,8,177,159,Easy Skanking,Legend,212,"{'external_urls': {'spotify': 'https://open.spotify.com/track/3yyAtpwQeTSx2msWcQHdOJ'}, 'name': 'Easy Skanking', 'uri': 'spotify:track:3yyAtpwQeTSx2msWcQHdOJ'}",True
19,2214,Bob Marley &amp; The Wailers,12,228,159,Redemption Song,Legend,212,"{'external_urls': {'spotify': 'https://open.spotify.com/track/26PwuMotZqcczKLHi4Htz3'}, 'name': 'Redemption Song', 'uri': 'spotify:track:26PwuMotZqcczKLHi4Htz3'}",True
20,2289,Nick Drake,8,214,165,Parasite,Pink Moon,220,"{'external_urls': {'spotify': 'https://open.spotify.com/track/1neN7vM1BHHoXEJWwr9m05'}, 'name': 'Parasite', 'uri': 'spotify:track:1neN7vM1BHHoXEJWwr9m05'}",True
21,2968,Coldplay,2,229,20,In My Place,A Rush Of Blood To The Head,296,"{'external_urls': {'spotify': 'https://open.spotify.com/track/33iv3wnGMrrDugd7GBso1z'}, 'name': 'My Own Worst Enemy', 'uri': 'spotify:track:33iv3wnGMrrDugd7GBso1z'}",True
22,2970,Coldplay,4,311,20,The Scientist,A Rush Of Blood To The Head,296,"{'external_urls': {'spotify': 'https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle'}, 'name': 'The Scientist', 'uri': 'spotify:track:75JFxkI2RXiU7L9VXzMkle'}",True
23,2971,Coldplay,5,308,20,Clocks,A Rush Of Blood To The Head,296,"{'external_urls': {'spotify': 'https://open.spotify.com/track/2fXwCWkh6YG5zU1IyvQrbs'}, 'name': 'Broken Clocks', 'uri': 'spotify:track:2fXwCWkh6YG5zU1IyvQrbs'}",True
24,3009,Coldplay,1,311,20,The Scientist,The Scientist,310,"{'external_urls': {'spotify': 'https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle'}, 'name': 'The Scientist', 'uri': 'spotify:track:75JFxkI2RXiU7L9VXzMkle'}",True
25,3677,Pulp,5,350,78,Common People,Hits,385,"{'external_urls': {'spotify': 'https://open.spotify.com/track/2fXKyAyPrEa24c6PJyqznF'}, 'name': 'Common People', 'uri': 'spotify:track:2fXKyAyPrEa24c6PJyqznF'}",True
26,3846,Counting Crows,1,188,257,Accidentally In Love,Accidentally In Love (From Shrek 2 S/T),431,"{'external_urls': {'spotify': 'https://open.spotify.com/track/3OltYYcLZUhvho5QoRbUNr'}, 'name': 'Accidentally In Love', 'uri': 'spotify:track:3OltYYcLZUhvho5QoRbUNr'}",True
27,3907,Black Eyed Peas,1,218,263,Let's Get It Started,Let's Get It Started,437,"{'external_urls': {'spotify': 'https://open.spotify.com/track/3qK8x4GZcIkzTz9JEqvIF5'}, 'name': ""Let's Get It Started - Spike Mix"", 'uri': 'spotify:track:3qK8x4GZcIkzTz9JEqvIF5'}",True
28,4170,Kool &amp; The Gang,2,295,288,Get Down On It,Celebration: The Best Of Kool &amp; The Gang (1979-1987),487,"{'external_urls': {'spotify': 'https://open.spotify.com/track/4yKZACkuudvfd600H2dQie'}, 'name': 'Get Down On It', 'uri': 'spotify:track:4yKZACkuudvfd600H2dQie'}",True
29,4507,U2,1,188,106,Helter Skelter,Rattle And Hum,551,"{'external_urls': {'spotify': 'https://open.spotify.com/track/0Bs0hUYxz7REyIHH7tRhL2'}, 'name': 'Helter Skelter - Remastered 2009', 'uri': 'spotify:track:0Bs0hUYxz7REyIHH7tRhL2'}",True
