"trackid","artistname","tracknumber","duration","artistid","tracktitle","releasetitle","releaseid"
24197,"Dire Straits",1,347,1486,"Sultans Of Swing","Sultans Of Swing - The Very Best Of Dire Straits",2360
24511,"Game",11,251,499934,"The Documentary","The Documentary",2400
51366,"Tears For Fears",5,256,286,"Head Over Heels","Tears Roll Down (Greatest Hits 82-92)",4955
71078,"Keith Sweat",1,272,4212,"Twisted","Keith Sweat",7017
79312,"Michael Bublé",3,316,908,"My Funny Valentine (Live)","Come Fly With Me",7828
88887,"Ambrosia",1,284,4619,"How Much I Feel","How Much I Feel &amp; Other Hits",8742
89517,"Madonna",9,376,6051,"Frozen","Ray Of Light",8804
92032,"The Corrs",13,248,592,"Love To Love You ( LP Version )","Best Of The Corrs",9048
92049,"Simple Plan",1,183,913,"Shut Up! (Domestic Album Version)","Still Not Getting Any",9050
92050,"Simple Plan",2,207,913,"Welcome To My Life","Still Not Getting Any",9050
92055,"Simple Plan",7,188,913,"Jump (Domestic Album Version)","Still Not Getting Any",9050
92059,"Simple Plan",11,240,913,"Untitled (Domestic Album Version)","Still Not Getting Any",9050
93304,"Red Hot Chili Peppers",7,269,1283,"Can't Stop","By The Way",9153
97091,"The Polyphonic Spree",1,280,6517,"Have A Day / Celebratory","The Beginning Stages Of ...",9468
101250,"50 Cent",1,209,1297,"Candy Shop","Candy Shop",9860
103938,"The Smashing Pumpkins",7,211,7041,"Smiley (Peel Sessions)","Rarities &amp; B-Sides",10149
104056,"Daft Punk",10,417,466,"Emotion","Human After All",10160
104079,"Brian Eno",5,262,1010,"An Ending (Ascent) (2005 Digital Remaster)","Apollo",10162
104534,"The Pussycat Dolls",1,192,7059,"Sway","Shall We Dance?",10226
105257,"Archive",1,331,6076,"Fuck U","Unplugged",10336
108811,"Gorillaz",6,223,382,"Feel Good Inc","Demon Days",10609
118130,"Coldplay",4,296,20,"Fix You","X &amp; Y",11546
123393,"Megadeth",5,225,990,"Angry Again","Greatest Hits:  Back To The Start (Digital Only)",12124
123493,"Bond",2,191,155005,"Explosive","Explosive - The Best of Bond",12140
124975,"Alphaville",6,228,6123,"Forever Young","Forever Young",12285
125132,"Madonna",7,262,6051,"Dear Jessie","Like A Prayer",12296
125156,"America",8,187,4841,"Muskrat Love","The Complete Greatest Hits",12298
125997,"Extremoduro",2,243,5653,"La vereda de la puerta de atras","Yo, Minoria Absoluta",12345
126768,"Project Pitchfork",12,266,5480,"I Live Your Dream","Eon:Eon",12396
129667,"Bread",2,188,4072,"Everything I Own","Best Of Bread",12584
130730,"Vangelis",2,347,6309,"Blush Response","Blade Runner",12661
130735,"Vangelis",7,534,6309,"Blade Runner Blues","Blade Runner",12661
132033,"Prince",9,226,4691,"Kiss","The Very Best Of Prince",12760
132205,"Red Hot Chili Peppers",1,273,1283,"Under The Bridge","Greatest Hits",12773
142435,"Daddy Yankee",1,195,8862,"Gasolina","Gasolina",13683
143791,"Stevie Wonder",2,302,66,"Heaven Is 10 Zillion Light Years Away","Fulfillingness' First Finale",13832
143808,"Stevie Wonder",9,254,66,"Summer Soft","Songs In The Key Of Life",13833
143810,"Stevie Wonder",201,394,66,"Isn't She Lovely","Songs In The Key Of Life",13833
143887,"Bob Marley &amp; The Wailers",1,214,159,"Positive Vibration","Rastaman Vibration",13840
144176,"Kraftwerk",203,272,983,"Metal On Metal (Live)","Minimum - Maximum",13862
146639,"B.B. King",7,383,136,"Worry, Worry","Live At The Regal",14203
146845,"Shania Twain",5,246,1062,"I Won't Leave You Lonely","Come On Over",14217
147097,"Barry White",1,205,1429,"You're The First, The Last, My Everything","Barry White - The Collection",14238
147099,"Barry White",3,243,1429,"Can't Get Enough Of Your Love, Babe","Barry White - The Collection",14238
