,trackid,artistname,tracknumber,duration,artistid,tracktitle,releasetitle,releaseid,spotify,spotify_ret
10,1646,3 Doors Down,1,237,108,Here Without You,Here Without You,130,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/2RTUTCvo6onsAnheUk3aL9'}, 'href': 'https://api.spotify.com/v1/artists/2RTUTCvo6onsAnheUk3aL9', 'id': '2RTUTCvo6onsAnheUk3aL9', 'name': '3 Doors Down', 'type': 'artist', 'uri': 'spotify:artist:2RTUTCvo6onsAnheUk3aL9'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/3NLrRZoMF0Lx6zTlYqeIo4'}, 'name': 'Here Without You', 'uri': 'spotify:track:3NLrRZoMF0Lx6zTlYqeIo4', 'genre': ['alternative metal', 'nu metal', 'pop punk', 'pop rock', 'post-grunge']}",True
11,2199,Bob Marley &amp; The Wailers,15,211,159,Jamming,Legend,212,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/2QsynagSdAqZj3U9HgDzjD'}, 'href': 'https://api.spotify.com/v1/artists/2QsynagSdAqZj3U9HgDzjD', 'id': '2QsynagSdAqZj3U9HgDzjD', 'name': 'Bob Marley & The Wailers', 'type': 'artist', 'uri': 'spotify:artist:2QsynagSdAqZj3U9HgDzjD'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/4zn0kScuV9Oj28d4g9CQQs'}, 'name': 'Jamming', 'uri': 'spotify:track:4zn0kScuV9Oj28d4g9CQQs', 'genre': ['reggae']}",True
12,2202,Bob Marley &amp; The Wailers,4,180,159,Three Little Birds,Legend,212,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/2QsynagSdAqZj3U9HgDzjD'}, 'href': 'https://api.spotify.com/v1/artists/2QsynagSdAqZj3U9HgDzjD', 'id': '2QsynagSdAqZj3U9HgDzjD', 'name': 'Bob Marley & The Wailers', 'type': 'artist', 'uri': 'spotify:artist:2QsynagSdAqZj3U9HgDzjD'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/6A9mKXlFRPMPem6ygQSt7z'}, 'name': 'Three Little Birds', 'uri': 'spotify:track:6A9mKXlFRPMPem6ygQSt7z', 'genre': ['reggae']}",True
13,2205,Bob Marley &amp; The Wailers,16,412,159,Punky Reggae Party,Legend,212,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/2QsynagSdAqZj3U9HgDzjD'}, 'href': 'https://api.spotify.com/v1/artists/2QsynagSdAqZj3U9HgDzjD', 'id': '2QsynagSdAqZj3U9HgDzjD', 'name': 'Bob Marley & The Wailers', 'type': 'artist', 'uri': 'spotify:artist:2QsynagSdAqZj3U9HgDzjD'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/1WgOedf4pKmgepml1CMW6o'}, 'name': 'Punky Reggae Party', 'uri': 'spotify:track:1WgOedf4pKmgepml1CMW6o', 'genre': ['reggae']}",True
14,2206,Bob Marley &amp; The Wailers,1,231,159,Is This Love,Legend,212,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6eKWqnckwdIlSnjaYgIyxv'}, 'href': 'https://api.spotify.com/v1/artists/6eKWqnckwdIlSnjaYgIyxv', 'id': '6eKWqnckwdIlSnjaYgIyxv', 'name': 'Eli Young Band', 'type': 'artist', 'uri': 'spotify:artist:6eKWqnckwdIlSnjaYgIyxv'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/6lUNNXp7M8boA7gUEd6PSm'}, 'name': ""Love Ain't"", 'uri': 'spotify:track:6lUNNXp7M8boA7gUEd6PSm', 'genre': ['contemporary country', 'country', 'country pop', 'country road', 'heartland rock', 'modern country rock', 'outlaw country', 'red dirt', 'texas country']}",True
15,2207,Bob Marley &amp; The Wailers,2,428,159,"No Woman, No Cry",Legend,212,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/2QsynagSdAqZj3U9HgDzjD'}, 'href': 'https://api.spotify.com/v1/artists/2QsynagSdAqZj3U9HgDzjD', 'id': '2QsynagSdAqZj3U9HgDzjD', 'name': 'Bob Marley & The Wailers', 'type': 'artist', 'uri': 'spotify:artist:2QsynagSdAqZj3U9HgDzjD'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/423hwXFgoN8RYmqLoLuVvY'}, 'name': 'No Woman, No Cry - Live At The Lyceum, London/1975', 'uri': 'spotify:track:423hwXFgoN8RYmqLoLuVvY', 'genre': ['reggae']}",True
16,2208,Bob Marley &amp; The Wailers,3,237,159,Could You Be Loved,Legend,212,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/2QsynagSdAqZj3U9HgDzjD'}, 'href': 'https://api.spotify.com/v1/artists/2QsynagSdAqZj3U9HgDzjD', 'id': '2QsynagSdAqZj3U9HgDzjD', 'name': 'Bob Marley & The Wailers', 'type': 'artist', 'uri': 'spotify:artist:2QsynagSdAqZj3U9HgDzjD'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/5O4erNlJ74PIF6kGol1ZrC'}, 'name': 'Could You Be Loved', 'uri': 'spotify:track:5O4erNlJ74PIF6kGol1ZrC', 'genre': ['reggae']}",True
17,2209,Bob Marley &amp; The Wailers,5,258,159,Buffalo Soldier,Legend,212,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/2QsynagSdAqZj3U9HgDzjD'}, 'href': 'https://api.spotify.com/v1/artists/2QsynagSdAqZj3U9HgDzjD', 'id': '2QsynagSdAqZj3U9HgDzjD', 'name': 'Bob Marley & The Wailers', 'type': 'artist', 'uri': 'spotify:artist:2QsynagSdAqZj3U9HgDzjD'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/7BfW1eoDh27W69nxsmRicb'}, 'name': 'Buffalo Soldier', 'uri': 'spotify:track:7BfW1eoDh27W69nxsmRicb', 'genre': ['reggae']}",True
18,2212,Bob Marley &amp; The Wailers,8,177,159,Easy Skanking,Legend,212,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/2QsynagSdAqZj3U9HgDzjD'}, 'href': 'https://api.spotify.com/v1/artists/2QsynagSdAqZj3U9HgDzjD', 'id': '2QsynagSdAqZj3U9HgDzjD', 'name': 'Bob Marley & The Wailers', 'type': 'artist', 'uri': 'spotify:artist:2QsynagSdAqZj3U9HgDzjD'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/3yyAtpwQeTSx2msWcQHdOJ'}, 'name': 'Easy Skanking', 'uri': 'spotify:track:3yyAtpwQeTSx2msWcQHdOJ', 'genre': ['reggae']}",True
19,2214,Bob Marley &amp; The Wailers,12,228,159,Redemption Song,Legend,212,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/2QsynagSdAqZj3U9HgDzjD'}, 'href': 'https://api.spotify.com/v1/artists/2QsynagSdAqZj3U9HgDzjD', 'id': '2QsynagSdAqZj3U9HgDzjD', 'name': 'Bob Marley & The Wailers', 'type': 'artist', 'uri': 'spotify:artist:2QsynagSdAqZj3U9HgDzjD'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/26PwuMotZqcczKLHi4Htz3'}, 'name': 'Redemption Song', 'uri': 'spotify:track:26PwuMotZqcczKLHi4Htz3', 'genre': ['reggae']}",True
